"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1981_2010_Average","Percent_NRCS_1981_2010_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1981_2010_Average_inches","NRCS_1981_2010_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Clayton Springs","983	","Utah","SNOTEL","Garfield","10049","37.9725","-111.83355","160300020501	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","85","4","1","Lowest",,,"1.48","0","0","22","2018, 2020, 2021, more","2019","21"
"Clear Creek #1","399	","Utah","SNOTEL","Utah","8975","39.86671","-111.28363","160202020102	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"3.56","0","0","35","2017, 2018, 2020, more","2011","18"
"Clear Creek #2","400	","Utah","SNOTEL","Utah","7837","39.89275","-111.25154","160202020102	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0.06","0","0","1","2018, 2019, 2020, more","2011","17"
"Clear Lake","401	","Oregon","SNOTEL","Wasco","3810","45.18832","-121.6916","170703060901	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","93","2","1","Lowest",,,"1.13","0","0","18","2019, 2020, 2021, more","2008","16"
"Cloud Peak Reservoir","402	","Wyoming","SNOTEL","Johnson","9860","44.40343","-107.06057","100902060301	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","27",,,"101","115","41","39","41","3.5","53","9","10",,,,"26.83","23.5","0","84","2004, 2006, 2012","2011","18"
"Clover Meadow","403	","Montana","SNOTEL","Madison","8600","45.01788","-111.8456","100200070803	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","23",,,"83","88","42","36","37","-3","29","16","6",,,,"27.82","26","0","62","2001","2011","22"
"Cochetopa Pass","1059	","Colorado","SNOTEL","Saguache","10020","38.16283","-106.59883","130100040203	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","87","3","1","Lowest",,,"0.13","0","0","1","2018, 2020, 2021, more","2005, 2019","16"
"Cold Springs","405	","Wyoming","SNOTEL","Fremont","9630","43.27676","-109.44585","100800010702	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"4.77","0","0","40","2016, 2018, 2020, more","2011","22"
"Cold Springs Camp","406	","Oregon","SNOTEL","Klamath","5940","42.53305","-122.17683","180102030202	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"7.67","0","0","53","2018, 2019, 2020, more","2011","15"
"Coldfoot","958	","Alaska","SNOTEL","Yukon-Koyukuk","1040","67.25333","-150.183","190901010604	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"21.58","0","0","409","2018, 2019, 2020, more","2002","19"
"Cole Canyon","982	","Wyoming","SNOTEL","Crook","5910","44.48632","-104.41057","101202030302	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","19"
"Cole Creek","407	","Montana","SNOTEL","Carbon","7850","45.19405","-109.34548","100700060801	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","34",,,"116","106","49","51","52","2","56","9","11",,,,"29.42","32","0","75","2006","2011","19"
"Columbia Basin","1204	","Nevada","SNOTEL","Elko","6483","41.67167","-116.07033","170501050503	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","9"
"Columbine","408	","Colorado","SNOTEL","Jackson","9160","40.3948","-106.60408","101800010102	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","60","7","1","Lowest",,,"20.06","0","0","219","2018, 2020, 2021, more","2005","16"
"Columbine Pass","409	","Colorado","SNOTEL","Montrose","9400","38.41795","-108.38249","140200050202	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","82","4","1","Lowest",,,"0.22","0","0","2","2018, 2020, 2021, more","2019","18"
"Columbus Basin","904	","Colorado","SNOTEL","La Plata","10785","37.44147","-108.02445","140801050101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"20.52","5","0","93","2014, 2018, 2020, more","2019","21"
"Combination","410	","Montana","SNOTEL","Granite","5600","46.46523","-113.39358","170102020401	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","18"
"Cool Creek","411	","Idaho","SNOTEL","Clearwater","6280","46.76361","-115.29528","170603070702	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","72",,,"97","99","49","53","53","-1","45","12","10",,,,"74.43","73","25","143","2015","2011","21"
"Cooper Lake","959	","Alaska","SNOTEL","Kenai Peninsula","1200","60.39027","-149.6936","190203021205	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"29.94","0","0","490","2018, 2019, 2020, more","2006","17"
"Copeland Lake","412	","Colorado","SNOTEL","Boulder","8600","40.20778","-105.56861","101900050202	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","16"
"Copper Bottom","413	","Montana","SNOTEL","Lewis And Clark","5200","47.05678","-112.595","170102030103	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","19"
"Copper Camp","414	","Montana","SNOTEL","Lewis And Clark","6950","47.08158","-112.72955","170102030103	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","24",,,"94","100","29","24","23","0","50","10","10",,,,"25.42","24","0","102","2004, 2005, 2015","2011","19"
"Copper Mountain","415	","Colorado","SNOTEL","Summit","10550","39.48954","-106.17095","140100020302	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"13.53","7","0","49","2010, 2012, 2018, more","2019","15"
"Corduroy Flat","1209	","Nevada","SNOTEL","White Pine","8640","38.99651","-115.42478","160600121206	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0.22","0","0","2","2017, 2018, 2020, more","2019","9"
"Coronado Trail","416	","Arizona","SNOTEL","Apache","8400","33.80392","-109.15282","150400040501	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","13"
"Corral","1236	","Utah","SNOTEL","Carbon","8207","39.65795","-110.37906","140600070903	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","7"
"Corral Canyon","417	","Nevada","SNOTEL","Elko","8445","40.27551","-115.54017","160401030401	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"7.79","0","0","42","2017, 2018, 2020, more","2011","19"
"Corral Pass","418	","Washington","SNOTEL","Pierce","5800","47.01872","-121.46464","171100140307	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","36",,,"62","54","30","34","34","-30.5","23","11","4",,,,"57.93","66.5","7","114","2019","2011","14"
"Cottonwood Creek","419	","Wyoming","SNOTEL","Lincoln","7670","42.6459","-110.81482","170401050102	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","50","4","1","Lowest",,,"6.57","0","0","21","2016, 2018, 2021, more","2017","7"
"Cougar Mountain","420	","Washington","SNOTEL","King","3200","47.27666","-121.67138","171100130202	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"4.39","0","0","40","2018, 2019, 2020, more","2008","18"
"County Line","422	","Oregon","SNOTEL","Umatilla","4830","45.19107","-118.55015","170601040202	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","18"
"Cox Flat AM","1273	","Oregon","SNOLITE","Lake","5710","42.36192","-120.60912","180200010205	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","6"
"Cozy Cove","423	","Idaho","SNOTEL","Valley","5400","44.28846","-115.65508","170501200403	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","11"
"Crab Creek","424	","Idaho","SNOTEL","Clark","6900","44.437","-111.99384","170402140108	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","92","2","1","Lowest",,,"0.29","0","0","4","2019, 2020, 2021, more","2011","14"
"Crater Meadows","425	","Idaho","SNOTEL","Clearwater","5960","46.56394","-115.28903","170603070502	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","27",,,"57","63","20","21","21","-16","25","16","6",,,,"47.24","43","2","120","2015","2011","21"
"Crazyman Flat","1010	","Oregon","SNOTEL","Klamath","6180","42.6381","-120.94917","180102020101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","95","2","1","Lowest",,,"0.1","0","0","2","2019, 2020, 2021, more","2011","20"
"Crescent Lake #1","2002	","Minnesota","SCAN","Sherburne","980","45.41667","-93.95","070102030503	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","95","2","1","Lowest",,,"0.05","0","0","1","2018, 2020, 2021, more","2019","21"
"Crosho","426	","Colorado","SNOTEL","Rio Blanco","9100","40.16745","-107.0575","140500010106	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0.88","0","0","10","2017, 2018, 2020, more","2011","17"
"Crow Creek","1045	","Wyoming","SNOTEL","Albany","8330","41.2287","-105.38278","101900090104	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","71","6","1","Lowest",,,"0.78","0","0","5","2019, 2020, 2021, more","2009","18"
"Crowder Flat","977	","California","SNOTEL","Modoc","5170","41.89318","-120.75202","180102040103	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","21"
"Crystal Lake","427	","Montana","SNOTEL","Fergus","6050","46.78942","-109.51205","100401030204	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0","0","0","0","0","-0.5","47","10","1","Lowest",,,"6.83","0.5","0","45","2018, 2019, 2021, more","2010","18"
"Css Lab","428	","California","SNOTEL","Nevada","6894","39.32565","-120.36807","180201250602	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"17.07","0","0","100","2016, 2018, 2020, more","2011","15"
"Culebra #2","430	","Colorado","SNOTEL","Costilla","10500","37.20945","-105.19959","130100020902	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","16"
"Cumbres Trestle","431	","Colorado","SNOTEL","Conejos","10040","37.01878","-106.45179","130201020203	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"8.87","0","0","41","2016, 2018, 2020, more","2019","15"
"Currant Creek","432	","Utah","SNOTEL","Wasatch","7915","40.35747","-111.08993","140600040401	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","19"
"Daisy Peak","919	","Montana","SNOTEL","Meagher","7600","46.66858","-110.33022","100402010106	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","14",,,"153","233","34","29","32","8","76","5","13",,,,"9.17","6","0","43","2016, 2017, 2018, more","2011","18"
"Daly Creek","433	","Montana","SNOTEL","Ravalli","5780","46.18367","-113.8533","170102050901	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","19"
"Daly Lake","434	","Oregon","SNOTEL","Linn","3690","44.52147","-122.08718","170900060101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"2.44","0","0","35","2018, 2019, 2020, more","2008","16"
"Daniel Fish Hatchery","2242	","Wyoming","ACIS","Sublette","7340","42.91666","-110.13333","140401010701	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0.03","0","0","1","2018, 2019, 2020, more","2004","31"
"Daniels-Strawberry","435	","Utah","SNOTEL","Wasatch","8008","40.2953","-111.25677","140600040101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0.35","0","0","8","2018, 2019, 2020, more","2011","23"
"Darkhorse Lake","436	","Montana","SNOTEL","Beaverhead","8945","45.17367","-113.58448","100200040301	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","53",,,"83","87","58","54","54","-8","22","15","5",,,,"63.58","61","43","113","2007","2011","19"
"Deadman Creek","437	","Montana","SNOTEL","Meagher","6450","46.79279","-110.67545","100301030401	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","88","3","1","Lowest",,,"0.83","0","0","14","2019, 2020, 2021, more","2011","18"
"Deadman Hill","438	","Colorado","SNOTEL","Larimer","10220","40.80571","-105.76993","101900070502	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"28.94","29","0","74","2012, 2018","2011","17"
"Deadwood Summit","439	","Idaho","SNOTEL","Valley","6860","44.54514","-115.5638","170501200401	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","24",,,"56","56","22","20","20","-19","28","14","5",,,,"42.58","43","1","92","2015","2011","19"
"Deer Park","923	","Wyoming","SNOTEL","Fremont","9700","42.59076","-108.90273","100800030101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","9",,,"46","78","16","14","14","-2.5","43","14","10",,,,"19.46","11.5","0","74","2012, 2013, 2020, more","2011","24"
"Defiance Mines","1210	","Nevada","SNOTEL","White Pine","9302","39.08527","-114.89977","160600081002	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","78","3","1","Lowest",,,"6","0","0","53","2018, 2020, 2021, more","2019","10"
"Derr.","440	","Oregon","SNOTEL","Wheeler","5850","44.4465","-119.93012","170703040401	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","15"
"Diamond Lake","442	","Oregon","SNOTEL","Douglas","5280","43.18787","-122.14003","171003010204	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0.81","0","0","13","2018, 2019, 2020, more","2011","16"
"Diamond Peak","443	","Nevada","SNOTEL","Eureka","8017","39.56361","-115.84421","160600051503	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","2",,,"1,800",,"8","7","7","2","100","1","18","Highest",,,"0.11","0","0","2","2018, 2019, 2020, more","2021","18"
"Dills Camp","444	","Utah","SNOTEL","Sanpete","9228","39.04554","-111.46875","140700020201	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","88","3","1","Lowest",,,"0.56","0","0","9","2018, 2020, 2021, more","2011","18"
"Disaster Peak","445	","Nevada","SNOTEL","Humboldt","6260","41.96737","-118.18934","160402010201	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","17"
"Dismal Swamp","446	","California","SNOTEL","Modoc","7360","41.99127","-120.18033","171200070304	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0","0","0","0","0","-6","36","10","1","Lowest",,,"23.27","6","0","95","2015, 2018, 2021, more","2011","15"
"Divide","448	","Montana","SNOTEL","Madison","7800","44.79317","-112.05645","100200030102	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"2.32","0","0","21","2018, 2019, 2020, more","2011","22"
"Divide Peak","449	","Wyoming","SNOTEL","Carbon","8880","41.30398","-107.15241","140500030203	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"5.47","0","0","44","2017, 2018, 2020, more","2011","17"
"Dollarhide Summit","450	","Idaho","SNOTEL","Blaine","8420","43.6025","-114.67417","170402190201	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0","0","0","0","0","-25","33","15","1","Lowest",,,"22","25","0","68","2018, 2020, 2021, more","2011","22"
"Dome Lake","451	","Wyoming","SNOTEL","Sheridan","8880","44.57462","-107.29537","100901010102	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","14",,,"112","933","23","24","25","12.5","59","8","11",,,,"12.5","1.5","0","59","2013, 2018, 2020, more","2011","18"
"Dome Mountain","1A19P	","British Columbia","Cooperator Snow Sensors","	","5801","53.61667","-121.01667","	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","70",,,"170","163","60","83","71","27","86","3","13",,,,"41.27","43","0","78","2008, 2010","2012","15"
"Donkey Reservoir","452	","Utah","SNOTEL","Wayne","9799","38.2084","-111.47412","140700030305	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","17"
"Dorsey Basin","453	","Nevada","SNOTEL","Elko","7903","40.89343","-115.21104","160401010604	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","80","5","1","Lowest",,,"2.76","0","0","25","2018, 2020, 2021, more","2011","21"
"Draw Creek","454	","Nevada","SNOTEL","Elko","7332","41.661","-115.3234","160401010403	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","18"
"Dry Bread Pond","455	","Utah","SNOTEL","Cache","8302","41.41289","-111.5377","160102030101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"2.91","0","0","58","2017, 2018, 2020, more","2011","23"
"Dry Creek","1243	","Nevada","SNOTEL","Elko","6555","40.8638","-115.22014","160401010601	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","7"
"Dry Fork","906	","Utah","SNOTEL","Salt Lake","7093","40.56533","-112.17343","160202040106	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"360",,"2","2","2","1","94","2","17","2nd Highest",,,"0.28","0","0","4","2018, 2019, 2020, more","2011","18"
"Dry Lake","457	","Colorado","SNOTEL","Routt","8400","40.53397","-106.7813","140500010409	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"3.43","0","0","47","2017, 2018, 2020, more","2011","21"
"Dungeness","943	","Washington","SNOTEL","Clallam","4010","47.87224","-123.0788","171100200301	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"1.82","0","0","23","2018, 2019, 2020, more","1999","22"
"Dupuyer Creek","458	","Montana","SNOTEL","Teton","5750","48.06341","-112.7573","100302010501	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"1.84","0","0","21","2018, 2019, 2020, more","2011","19"
"EF Blacks Fork GS","1163	","Utah","SNOTEL","Summit","9360","40.88472","-110.54056","140401070302	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"3.9","0","0","39","2018, 2019, 2020, more","2011","10"
"Eagle Lake","2192	","California","SCAN","Lassen","5134","40.6175","-120.72472","180800030305	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"1.75","0.5","0","6","2015, 2016","2018","4"
"Eagle Summit","960	","Alaska","SNOTEL","Yukon-Koyukuk","3650","65.48588","-145.41212","190804010801	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0.79","0","0","11","2018, 2019, 2020, more","2001","19"
"East Boulder Mine","1105	","Montana","SNOTEL","Sweet Grass","6335","45.50381","-110.08019","100700020701	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","92","2","1","Lowest",,,"0.15","0","0","2","2019, 2020, 2021, more","2011","13"
"East Palmer","953	","Alaska","SNOTEL","Matanuska-Susitna","230","61.59858","-149.09637","190204020709	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2020","2020","1"
"East Rim Divide","460	","Wyoming","SNOTEL","Sublette","7930","43.13097","-110.2023","170401030203	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","10"
"East Willow Creek","461	","Utah","SNOTEL","Grand","8302","39.31213","-109.53179","140600060205	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"1,900",,"3","3","3","1","100","1","19","Highest",,,"0.05","0","0","1","2018, 2019, 2020, more","2021","19"
"Easy Pass","998	","Washington","SNOTEL","Whatcom","5270","48.85933","-121.43895","171100010101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"125","125","101","149","2020","2013","2"
"Ebbetts Pass","462	","California","SNOTEL","Alpine","8661","38.5497","-119.80468","160502010104	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"21.4","0","0","81","2015, 2018, 2020, more","2011, 2017","20"
"Echo Lake","936	","Colorado","SNOTEL","Clear Creek","10600","39.65627","-105.59345","101900020801	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","13",,,"163","867","30","24","30","11.5","71","7","15",,,,"8","1.5","0","33","2012, 2018, 2020, more","2015","22"
"Echo Peak","463	","California","SNOTEL","El Dorado","7653","38.849","-120.0795","160501010303	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"16.72","0","0","76","2016, 2018, 2020, more","2011","18"
"Eilertson Meadows","464	","Oregon","SNOTEL","Baker","5510","44.86887","-118.11387","170502030404	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","18"
"El Diente Peak","465	","Colorado","SNOTEL","Dolores","10000","37.78617","-108.02155","140300020202	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"54",,"2","1","2","1","95","2","16","2nd Highest",,,"1.85","0","0","33","2017, 2018, 2020, more","2019","20"
"Elbow Lake","910	","Washington","SNOTEL","Whatcom","3040","48.69092","-121.90893","171100040401	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","22",,,"118","244","17","20","20","13","74","7","18",,,,"18.67","9","0","82","2016, 2018, 2019, more","1999","24"
"Elk Butte","466	","Idaho","SNOTEL","Clearwater","5690","46.83998","-116.12233","170603080701	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","10",,,"43","67","9","10","9","-5","37","13","8",,,,"23.05","15","0","89","2005, 2015, 2016, more","2011","20"
"Elk Cabin","921	","New Mexico","SNOTEL","Santa Fe","8210","35.7043","-105.80675","130202010102	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","19"
"Elk Peak","1106	","Montana","SNOTEL","Meagher","7600","46.4845","-110.7125","100402010203	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","12",,,"42","50","22","16","17","-12","17","11","3",,,,"28.54","24","6","78","2013","2011","13"
"Elk Peak SC","536	","Montana","SNOLITE","Meagher","8000","46.47642","-110.72065","100301030104	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","22",,,"74","96","47","34","34","-1","0","3","1","Lowest",,,"29.67","23","22","44","2021","2019","3"
"Elk River","467	","Colorado","SNOTEL","Routt","8700","40.84781","-106.96871","140500010206	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"50",,"2","1","1","1","94","2","16","2nd Highest",,,"2","0","0","34","2018, 2019, 2020, more","2011","18"
"Elkhart Park G.S.","468	","Wyoming","SNOTEL","Sublette","9400","43.00657","-109.75893","140401020103	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","60","3","1","Lowest",,,"6.83","0","0","26","2018, 2020, 2021, more","2019","6"
"Elkhead Divide","1252	","Colorado","SNOTEL","Routt","8780","40.79649","-107.10122","140500010601	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"26",,"2","1","1","1","75","2","4","2nd Highest",,,"3.8","0","0","18","2017, 2018, 2020","2019","5"
"Elliot Ridge","1120	","Colorado","SNOTEL","Summit","10520","39.864","-106.4246","140100020602	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"20.09","18","0","60","2012, 2018","2011","11"
"Emery Creek","469	","Montana","SNOTEL","Flathead","4350","48.43412","-113.93725","170102090703	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","2",,,"1,800",,"4","4","4","2","100","1","18","Highest",,,"0.11","0","0","2","2018, 2019, 2020, more","2021","18"
"Emigrant Springs","470	","Oregon","SNOTEL","Umatilla","3800","45.55808","-118.45383","170701030501	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","20"
"Emigrant Summit","471	","Idaho","SNOTEL","Bear Lake","7390","42.36055","-111.56085","160102020206	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","72","6","1","Lowest",,,"6","0","0","56","2018, 2020, 2021, more","2011","19"
"Esther Island","1071	","Alaska","SNOTEL","Valdez-Cordova","50","60.798","-148.0857","190202011605	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2018, 2020, 2021, more","2018, 2020, 2021, more","5"
